Record ID,Record Type,Record Nature,Redirect,Name,Description,Classification System,Classification Code,Last Name,First Name,Name Suffix,Name Preferred,Attributes,Linked Data,Related Citations Count,Staff Notes,Record History,Created Date,Modified Date,Creator,Modifier
CBA000000342,Person,Active (RecordStatusExplanation ),,"Ackerman, Felicia",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.855411+00:00,,  (IsisAdmin-SPW)
CBA000000343,Person,Active (RecordStatusExplanation ),,"Ackerman, James S.",,Proper name,,,,,,,,6,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.913284+00:00,,  (IsisAdmin-SPW)
CBA000000344,Person,Active (RecordStatusExplanation ),,"Ackerman, Kay E.",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:02.961410+00:00,,  (IsisAdmin-SPW)
CBA480290328,Person,Active (RecordStatusExplanation ),,"Ackerman, Mark S.",,Proper name,,Ackerman,Mark S.,,,,LinkedData_ID LED516034734 || Status Active || Type VIAF || URN http://viaf.org/viaf/291014105 || ResourceName VIAF || URL ,1,,,2023-05-18 21:15:33.736653+00:00,2023-12-28 02:55:51.989837+00:00,Camille Testa (crtesta47),Camille Testa (crtesta47)
CBA000000345,Person,Active (RecordStatusExplanation ),,"Ackerman, Michael",,Proper name,,,,,,,,3,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.004847+00:00,,  (IsisAdmin-SPW)
CBA000000349,Person,Active (RecordStatusExplanation ),,"Ackermann, Hermann",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.074607+00:00,,  (IsisAdmin-SPW)
CBA585473437,Person,Active (RecordStatusExplanation ),,"Ackermann, Jacob Fidelis",,Proper name,,Ackermann,Jacob Fidelis,,,"AttributeID ATT024285204 || AttributeStatus Active || AttributeType BirthToDeathDates || AttributeValue [[1765], [1815]] || AttributeFreeFormValue 1765-1815 || AttributeStart 1765 || AttributeEnd 1815 || AttributeDescription ",LinkedData_ID LED384947441 || Status Active || Type VIAF || URN http://viaf.org/viaf/77056338 || ResourceName VIAF || URL ,1,,,2020-02-24 20:13:28.876313+00:00,2023-12-28 00:18:20.923329+00:00,Kraig Bartel (bart7924),Kraig Bartel (bart7924)
CBA000000350,Person,Active (RecordStatusExplanation ),,"Ackermann, Johann Christian Gottlieb",,Proper name,,,,,,"AttributeID ATT000212368 || AttributeStatus Active || AttributeType BirthToDeathDates || AttributeValue [[1756], [1801]] || AttributeFreeFormValue 1756-1801 || AttributeStart 1756 || AttributeEnd 1801 || AttributeDescription ",LinkedData_ID LED537059769 || Status Active || Type DNB || URN http://d-nb.info/gnd/12978253X/about/html || ResourceName Deutsche Nationalbibliothek GND Authority file || URL  // LinkedData_ID LED802399269 || Status Active || Type VIAF || URN http://viaf.org/viaf/56645934 || ResourceName VIAF || URL  // LinkedData_ID LED560017694 || Status Active || Type BHL || URN http://www.biodiversitylibrary.org/creator/6990 || ResourceName Biodiversity Heritage Library authority file || URL ,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.174318+00:00,,  (IsisAdmin-SPW)
CBA000000351,Person,Active (RecordStatusExplanation ),,"Ackermann, Marsha E.",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.258441+00:00,,  (IsisAdmin-SPW)
CBA000000352,Person,Active (RecordStatusExplanation ),,"Ackermann, Peter",,Proper name,,,,,,,,4,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.321453+00:00,,  (IsisAdmin-SPW)
CBA000144054,Person,Active (RecordStatusExplanation ),,"Ackermann, R.",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.369270+00:00,,  (IsisAdmin-SPW)
CBA000144055,Person,Active (RecordStatusExplanation ),,"Ackermann, Robert",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.415192+00:00,,  (IsisAdmin-SPW)
